ENSG00000008735	17
ENSG00000228274	5
ENSG00000228315	1
ENSG00000228587	0
ENSG00000228599	0
ENSG00000228620	0
ENSG00000228622	0
ENSG00000228719	0
ENSG00000228807	0
ENSG00000228839	0
ENSG00000228923	1
ENSG00000229027	0
ENSG00000229088	1
ENSG00000229107	1
ENSG00000229169	0
ENSG00000229266	0
ENSG00000229275	0
ENSG00000229286	0
ENSG00000229409	0
ENSG00000229492	0
ENSG00000229598	0
ENSG00000229608	0
ENSG00000229658	1
ENSG00000229673	0
ENSG00000229770	0
ENSG00000229891	3
ENSG00000229955	1
ENSG00000229971	0
ENSG00000229999	0
ENSG00000230051	0
ENSG00000230071	4
ENSG00000230107	1
ENSG00000230120	0
ENSG00000230137	0
ENSG00000230149	3
ENSG00000230194	1
ENSG00000230203	0
ENSG00000230319	1
ENSG00000230345	0
ENSG00000230471	1
ENSG00000230481	0
ENSG00000230485	0
ENSG00000230513	0
ENSG00000230634	0
ENSG00000230637	0
ENSG00000230643	0
ENSG00000230701	5
ENSG00000230712	0
ENSG00000230736	0
ENSG00000230741	0
ENSG00000230769	1
ENSG00000230821	1
ENSG00000230866	0
ENSG00000230912	1
ENSG00000230922	1
ENSG00000230947	0
ENSG00000231004	0
ENSG00000231010	0
ENSG00000231086	1
ENSG00000231253	0
ENSG00000231261	0
ENSG00000231271	0
ENSG00000231369	0
ENSG00000231392	0
ENSG00000231405	0
ENSG00000231466	1
ENSG00000231467	0
ENSG00000231495	0
ENSG00000231565	1
ENSG00000231576	0
ENSG00000231711	4
ENSG00000231801	0
ENSG00000231907	1
ENSG00000231933	2
ENSG00000231993	0
ENSG00000232050	0
ENSG00000232073	0
ENSG00000232081	0
ENSG00000232218	0
ENSG00000232254	0
ENSG00000232305	0
ENSG00000232346	0
ENSG00000232350	0
ENSG00000232363	0
ENSG00000232396	0
ENSG00000232464	0
ENSG00000232515	0
ENSG00000232530	0
ENSG00000232545	1
ENSG00000232564	0
ENSG00000232603	0
ENSG00000232655	0
ENSG00000232707	0
ENSG00000232710	0
ENSG00000232754	0
ENSG00000232771	0
ENSG00000232775	0
ENSG00000232897	0
ENSG00000232926	1
ENSG00000233010	0
ENSG00000233080	2
ENSG00000233157	0
ENSG00000233179	0
ENSG00000233360	0
ENSG00000233388	0
ENSG00000233408	1
ENSG00000233471	0
ENSG00000233521	1
ENSG00000233574	0
ENSG00000233577	0
ENSG00000233603	0
ENSG00000233632	0
ENSG00000233720	0
ENSG00000233733	0
ENSG00000233739	0
ENSG00000233764	0
ENSG00000233866	0
ENSG00000233903	1
ENSG00000233995	0
ENSG00000234009	0
ENSG00000234121	0
ENSG00000234208	0
ENSG00000234300	0
ENSG00000234353	3
ENSG00000234381	0
ENSG00000234409	0
ENSG00000234479	0
ENSG00000234503	0
ENSG00000234626	0
ENSG00000234630	0
ENSG00000234688	0
ENSG00000234726	0
ENSG00000234735	0
ENSG00000234764	0
ENSG00000234869	6
ENSG00000234884	1
ENSG00000234891	0
ENSG00000234892	0
ENSG00000234913	2
ENSG00000234928	1
ENSG00000234965	0
ENSG00000234979	0
ENSG00000235062	0
ENSG00000235091	0
ENSG00000235111	11
ENSG00000235154	0
ENSG00000235159	0
ENSG00000235209	0
ENSG00000235237	0
ENSG00000235246	0
ENSG00000235271	0
ENSG00000235295	0
ENSG00000235328	0
ENSG00000235343	0
ENSG00000235347	0
ENSG00000235445	0
ENSG00000235478	0
ENSG00000235485	0
ENSG00000235513	1
ENSG00000235568	9
ENSG00000235573	0
ENSG00000235578	0
ENSG00000235617	0
ENSG00000235647	0
ENSG00000235689	0
ENSG00000235759	2
ENSG00000235776	0
ENSG00000235786	0
ENSG00000235954	45
ENSG00000235969	0
ENSG00000235989	1
ENSG00000235992	0
ENSG00000236003	0
ENSG00000236052	0
ENSG00000236054	1
ENSG00000236079	0
ENSG00000236097	0
ENSG00000236117	1
ENSG00000236118	0
ENSG00000236132	0
ENSG00000236235	0
ENSG00000236272	0
ENSG00000236323	0
ENSG00000236325	0
ENSG00000236464	0
ENSG00000236499	1
ENSG00000236540	0
ENSG00000236611	0
ENSG00000236641	0
ENSG00000236666	1
ENSG00000236670	1
ENSG00000236754	2
ENSG00000236794	0
ENSG00000236831	0
ENSG00000236850	6
ENSG00000236858	0
ENSG00000236867	0
ENSG00000236890	0
ENSG00000237015	0
ENSG00000237037	5
ENSG00000237127	0
ENSG00000237129	0
ENSG00000237214	0
ENSG00000237299	0
ENSG00000237316	0
ENSG00000237347	0
ENSG00000237358	0
ENSG00000237387	0
ENSG00000237406	3
ENSG00000237407	0
ENSG00000237428	0
ENSG00000237438	18
ENSG00000237439	0
ENSG00000237446	0
ENSG00000237472	0
ENSG00000237476	5
ENSG00000237517	5
ENSG00000237601	0
ENSG00000237668	0
ENSG00000237689	0
ENSG00000237835	0
ENSG00000237862	1
ENSG00000237948	1
ENSG00000237977	3
ENSG00000238120	0
ENSG00000238125	0
ENSG00000238153	0
ENSG00000238192	0
ENSG00000238195	0
ENSG00000238498	0
ENSG00000238584	0
ENSG00000238875	0
ENSG00000239127	0
ENSG00000239249	0
ENSG00000239282	3
ENSG00000239435	0
ENSG00000239446	0
ENSG00000239511	0
ENSG00000239547	0
ENSG00000239674	0
ENSG00000239713	22
ENSG00000239900	183
ENSG00000239989	0
ENSG00000240122	0
ENSG00000240160	0
ENSG00000240186	0
ENSG00000240591	1
ENSG00000240647	0
ENSG00000240972	135
ENSG00000241333	0
ENSG00000241360	4
ENSG00000241484	8
ENSG00000241527	1
ENSG00000241693	0
ENSG00000241717	1
ENSG00000241832	1
ENSG00000241838	2
ENSG00000241878	81
ENSG00000241954	0
ENSG00000241973	297
ENSG00000241990	4
ENSG00000242082	2
ENSG00000242114	15
ENSG00000242156	0
ENSG00000242247	145
ENSG00000242251	0
ENSG00000242259	84
ENSG00000242876	0
ENSG00000243156	119
ENSG00000243453	0
ENSG00000243519	0
ENSG00000243762	3
ENSG00000243811	4
ENSG00000243902	0
ENSG00000244296	0
ENSG00000244425	0
ENSG00000244486	19
ENSG00000244491	2
ENSG00000244509	47
ENSG00000244625	7
ENSG00000244627	17
ENSG00000244671	0
ENSG00000244723	0
ENSG00000244752	2
ENSG00000248405	1
ENSG00000248409	0
ENSG00000248751	0
ENSG00000249222	0
ENSG00000249263	0
ENSG00000249288	0
ENSG00000249310	0
ENSG00000249333	0
ENSG00000249590	0
ENSG00000249680	0
ENSG00000249923	0
ENSG00000250261	0
ENSG00000250318	0
ENSG00000250470	0
ENSG00000250479	36
ENSG00000251322	23
ENSG00000251357	0
ENSG00000251890	0
ENSG00000251913	0
ENSG00000251940	0
ENSG00000251952	0
ENSG00000251985	0
ENSG00000252020	0
ENSG00000252143	0
ENSG00000252225	0
ENSG00000252267	0
ENSG00000252412	0
ENSG00000252603	0
ENSG00000252859	0
ENSG00000252909	0
ENSG00000253007	0
ENSG00000253120	0
ENSG00000253126	0
ENSG00000253152	0
ENSG00000253234	0
ENSG00000253239	0
ENSG00000253242	0
ENSG00000253329	0
ENSG00000253338	0
ENSG00000253352	457
ENSG00000253448	0
ENSG00000253451	0
ENSG00000253460	0
ENSG00000253481	0
ENSG00000253546	0
ENSG00000253590	0
ENSG00000253631	0
ENSG00000253637	0
ENSG00000253691	0
ENSG00000253752	0
ENSG00000253779	0
ENSG00000253786	0
ENSG00000253794	0
ENSG00000253818	0
ENSG00000253822	0
ENSG00000253823	0
ENSG00000253874	0
ENSG00000253889	0
ENSG00000253913	0
ENSG00000253920	0
ENSG00000253935	0
ENSG00000253963	0
ENSG00000254029	0
ENSG00000254030	0
ENSG00000254073	0
ENSG00000254075	0
ENSG00000254077	0
ENSG00000254127	0
ENSG00000254161	0
ENSG00000254175	0
ENSG00000254240	0
ENSG00000254264	0
ENSG00000254308	0
ENSG00000254355	0
ENSG00000254413	7
ENSG00000254499	0
ENSG00000254709	0
ENSG00000254835	0
ENSG00000255156	0
ENSG00000258555	0
ENSG00000259271	0
ENSG00000259421	0
ENSG00000260613	0
ENSG00000260708	12
ENSG00000260924	6
ENSG00000261188	13
ENSG00000261202	0
ENSG00000261251	3
ENSG00000261675	0
ENSG00000263366	0
ENSG00000263764	0
ENSG00000264073	0
ENSG00000264139	0
ENSG00000264141	0
ENSG00000264160	0
ENSG00000264346	0
ENSG00000264661	0
ENSG00000264757	0
ENSG00000264824	0
ENSG00000266012	0
ENSG00000266320	0
ENSG00000266503	0
ENSG00000266508	0
ENSG00000266533	0
ENSG00000266594	0
ENSG00000266887	0
ENSG00000267338	2
ENSG00000268292	0
ENSG00000268812	0
ENSG00000268818	0
ENSG00000269220	2
ENSG00000269972	0
ENSG00000269987	1
ENSG00000270022	3
ENSG00000270083	1
ENSG00000270226	0
ENSG00000270393	0
ENSG00000271093	0
ENSG00000271127	9
ENSG00000271138	0
ENSG00000271181	0
ENSG00000271275	0
ENSG00000271672	0
ENSG00000272578	8
ENSG00000272582	0
ENSG00000272600	0
ENSG00000272666	1
ENSG00000272669	6
ENSG00000272682	1
ENSG00000272689	1
ENSG00000272694	0
ENSG00000272720	2
ENSG00000272733	1
ENSG00000272779	8
ENSG00000272787	1
ENSG00000272798	0
ENSG00000272821	2
ENSG00000272829	1
ENSG00000272834	0
ENSG00000272836	0
ENSG00000272858	3
ENSG00000272872	29
ENSG00000272940	0
ENSG00000272942	0
ENSG00000272954	2
ENSG00000272973	0
ENSG00000272977	8
ENSG00000273000	2
ENSG00000273032	0
ENSG00000273044	0
ENSG00000273068	0
ENSG00000273076	0
ENSG00000273082	0
ENSG00000273096	0
ENSG00000273137	0
ENSG00000273139	0
ENSG00000273145	5
ENSG00000273164	0
ENSG00000273176	0
ENSG00000273188	0
ENSG00000273192	1
ENSG00000273203	2
ENSG00000273212	0
ENSG00000273214	1
ENSG00000273216	0
ENSG00000273243	1
ENSG00000273244	0
ENSG00000273253	0
ENSG00000273272	0
ENSG00000273287	0
ENSG00000273289	0
ENSG00000273295	20
ENSG00000273300	0
ENSG00000273311	6
ENSG00000273325	0
ENSG00000273342	1
ENSG00000273343	1
ENSG00000273350	1
ENSG00000273353	0
ENSG00000273362	0
ENSG00000273366	1
ENSG00000273387	2
ENSG00000273424	0
ENSG00000273428	0
ENSG00000273442	0
ENSG00000273643	0
ENSG00000273846	0
ENSG00000273866	0
ENSG00000273899	18
ENSG00000273907	0
ENSG00000273979	0
ENSG00000274044	0
ENSG00000274170	0
ENSG00000274252	0
ENSG00000274280	0
ENSG00000274342	0
ENSG00000274381	0
ENSG00000274422	4
ENSG00000274457	0
ENSG00000274552	0
ENSG00000274600	0
ENSG00000274602	25
ENSG00000274617	0
ENSG00000274625	0
ENSG00000274717	1
ENSG00000275004	52
ENSG00000275060	0
ENSG00000275293	0
ENSG00000275307	0
ENSG00000275319	0
ENSG00000275361	0
ENSG00000275362	0
ENSG00000275609	0
ENSG00000275635	0
ENSG00000275656	0
ENSG00000275772	0
ENSG00000275793	2
ENSG00000275818	0
ENSG00000275840	0
ENSG00000275942	0
ENSG00000276027	0
ENSG00000276057	0
ENSG00000276095	0
ENSG00000276138	0
ENSG00000276150	0
ENSG00000276160	0
ENSG00000276162	0
ENSG00000276400	0
ENSG00000276427	0
ENSG00000276664	0
ENSG00000276675	0
ENSG00000276753	0
ENSG00000276800	0
ENSG00000276871	0
ENSG00000276874	0
ENSG00000276950	1
ENSG00000276965	0
ENSG00000276991	0
ENSG00000277017	0
ENSG00000277232	0
ENSG00000277248	0
ENSG00000277385	0
ENSG00000277460	0
ENSG00000277690	0
ENSG00000277771	0
ENSG00000277870	0
ENSG00000277872	0
ENSG00000277941	0
ENSG00000277950	0
ENSG00000277971	0
ENSG00000278008	0
ENSG00000278044	0
ENSG00000278110	0
ENSG00000278188	0
ENSG00000278195	11
ENSG00000278196	0
ENSG00000278278	0
ENSG00000278292	0
ENSG00000278404	0
ENSG00000278420	0
ENSG00000278558	0
ENSG00000278655	0
ENSG00000278657	0
ENSG00000278667	0
ENSG00000278869	1
ENSG00000278881	0
ENSG00000278890	0
ENSG00000278920	5
ENSG00000278948	22
ENSG00000278960	0
ENSG00000279006	0
ENSG00000279010	71
ENSG00000279080	5
ENSG00000279085	2
ENSG00000279110	2
ENSG00000279159	12
ENSG00000279175	7
ENSG00000279182	0
ENSG00000279184	8
ENSG00000279217	3
ENSG00000279219	0
ENSG00000279278	2
ENSG00000279298	0
ENSG00000279345	0
ENSG00000279440	2
ENSG00000279442	2
ENSG00000279467	2
ENSG00000279494	0
ENSG00000279548	0
ENSG00000279560	0
ENSG00000279597	0
ENSG00000279642	0
ENSG00000279652	1
ENSG00000279699	1
ENSG00000279712	11
ENSG00000279714	0
ENSG00000279738	35
ENSG00000279805	0
ENSG00000279833	0
ENSG00000279848	0
ENSG00000279914	0
ENSG00000279920	0
ENSG00000279927	0
ENSG00000279933	0
ENSG00000279954	2
ENSG00000279973	0
ENSG00000279987	0
ENSG00000280007	8
ENSG00000280011	3
ENSG00000280025	2
ENSG00000280080	0
ENSG00000280156	16
ENSG00000280178	0
ENSG00000280199	2
ENSG00000280216	0
ENSG00000280224	1
ENSG00000280263	0
ENSG00000280312	0
ENSG00000280341	0
ENSG00000280356	2
ENSG00000280363	0
ENSG00000280383	10
ENSG00000280384	4
ENSG00000280395	0
ENSG00000280418	0
ENSG00000280424	3
ENSG00000280434	13
ENSG00000280445	0
ENSG00000280623	121
ENSG00000280968	0
ENSG00000281295	0
ENSG00000281530	2
ENSG00000281538	0
ENSG00000281548	0
ENSG00000281732	0
ENSG00000282012	0
ENSG00000282041	0
ENSG00000282602	0
ENSG00000282816	0
ENSG00000283023	0
ENSG00000283047	0
ENSG00000283145	0
ENSG00000283225	0
ENSG00000283366	0
ENSG00000283406	0
ENSG00000283438	0
ENSG00000283535	0
ENSG00000283583	0
ENSG00000283633	13
ERCC-00002	12985
ERCC-00003	1098
ERCC-00004	3332
ERCC-00009	477
ERCC-00012	0
ERCC-00013	2
ERCC-00014	2
ERCC-00016	0
ERCC-00017	0
ERCC-00019	11
ERCC-00022	99
ERCC-00024	0
ERCC-00025	97
ERCC-00028	8
ERCC-00031	0
ERCC-00033	0
ERCC-00034	7
ERCC-00035	65
ERCC-00039	3
ERCC-00040	0
ERCC-00041	0
ERCC-00042	531
ERCC-00043	725
ERCC-00044	103
ERCC-00046	1252
ERCC-00048	0
ERCC-00051	5
ERCC-00053	29
ERCC-00054	0
ERCC-00057	0
ERCC-00058	3
ERCC-00059	7
ERCC-00060	167
ERCC-00061	0
ERCC-00062	57
ERCC-00067	0
ERCC-00069	1
ERCC-00071	32
ERCC-00073	1
ERCC-00074	11616
ERCC-00075	0
ERCC-00076	75
ERCC-00077	2
ERCC-00078	25
ERCC-00079	28
ERCC-00081	0
ERCC-00083	0
ERCC-00084	25
ERCC-00085	2
ERCC-00086	0
ERCC-00092	256
ERCC-00095	112
ERCC-00096	14433
ERCC-00097	0
ERCC-00098	0
ERCC-00099	13
ERCC-00104	2
ERCC-00108	614
ERCC-00109	2
ERCC-00111	481
ERCC-00112	158
ERCC-00113	3342
ERCC-00116	709
ERCC-00117	0
ERCC-00120	0
ERCC-00123	0
ERCC-00126	2
ERCC-00130	22442
ERCC-00131	91
ERCC-00134	0
ERCC-00136	1529
ERCC-00137	2
ERCC-00138	1
ERCC-00142	1
ERCC-00143	5
ERCC-00144	5
ERCC-00145	490
ERCC-00147	0
ERCC-00148	1
ERCC-00150	4
ERCC-00154	7
ERCC-00156	0
ERCC-00157	12
ERCC-00158	1
ERCC-00160	9
ERCC-00162	37
ERCC-00163	4
ERCC-00164	0
ERCC-00165	28
ERCC-00168	1
ERCC-00170	14
ERCC-00171	1336
__no_feature	37002
__ambiguous	1360
__too_low_aQual	82
__not_aligned	130
__alignment_not_unique	2718
